id,t1_final,t2_final,subject,body
2. Item (scooter) was damaged, and parts were missing. Seller (crtmoto-depot) was immediately notified approximately 3 weeks ago,



3. Seller (crtmoto-depot) indicated that they would get back to me with a resolution and tracking number for the replacement parts that were sent (about 3 weeks ago)

4. Spoke with Chris (crtmoto-depot) 2 weeks ago who indicated that he would have someone contact us by back right away. Someone called three days later but didn't leave any details or information in the message; they only left a message to call them back. We called them back 3 times, no one answered and calls were not returned.

5. I have yet to receive any tracking information on items that were supposedly sent out two weeks ago. It appears that nothing has been sent out; and it seems that no one is treating this as a priority.

6. The scooter has been sitting unusable in my garage for almost 3 weeks. This has been a horrible experience; and at this point, I just want my money back.

7. I have a requested a Full Refund in the amount of $  from the seller with details on how/when the item will be picked up.

8. This morning, I received a message stating 'sent you asap' with no additional details. I have no idea what was sent. I'm hoping that it was"

37483,M2M Escalation,Buyer Protect High ASP Claim,Re: REmportant Case (5111903392) Update: Case Closed  SR# 1-85692457673,"Can someone please update me as to when my paypal account balance will be corrected and brought back to a positive state by the hold on my funds being released? I have done everything as instructed..

I have sent several emails without replies. Please see the email history below.

Thank You,

Greg Hightower





      From: ""hgh1_us@yahoo.com"" <hgh1_us@yahoo.com>

 To: highvalueclaimsinfo@ebay.com 

 Sent: Thursday, September 29, 2016 5:52 AM

 Subject: Re: REmportant Case (5111903392) Update: Case Closed SR# 1-85692457673

   

So being that I paid the $150 on Sunday and now Thursday morning, my balance still has not been corrected back to zero, do I just need to open a new PayPal account ? Or is my original PayPal account ever going to correct itself by releasing the funds on hold and bring my balance back to zero again?

Sent from my iPhone

On Sep 11, 2016, at 2:24 PM, highvalueclaimsinfo@ebay.com wrote:







  REmportant Case (5111903392) Update: Case Closed SR# 1-85692457673



 Hello Greg,



Thank you for reaching out to us concerning the negative balance in relation to the eBay case (5111903392). We want to make sure that we can reach a resolution together on this. 



After reviewing your claim we can see that we issued a partial refund to your customer to close the case. While a partial refund was issued the refund was from us on your behalf, and we have not receiv"

37485,e2M Listing,VeRO - CCR,Listing(s) uses unauthorized copy of copyrighted image [Case #429358],"

Notice of Claimed Infringement - Statutory Declaration





eBay International A.G.

Attn: VeRO Programme





Fax: +44 (0) 870 458 4522



Date: 05-Oct-2016



Dear eBay,



I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:



- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");



- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and



- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.



Rights owner:

Address of the rights owner:



I may be contacted at:



Name of IP Owner: J. Barbour & Sons Ltd

Name and Title of the author of the Notice: Brenda Readman-Bell

Company of the author of the Notice: J. Barbour & Sons Ltd

Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD

Email address (for communication with eBay): barbour@enforcements.markmonitor.com

email address (for communication with sellers)*: brandprotection@mm-barbour.com

Telephone: 0044.208.6851875

Fax: 0044.208.6851875



* please fill in, if you wish to have a different address.



In addition to the undersigned, the following"
